track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
0FdCFfb5xb7thJMaSjLFsH,"Stand Up (Tom Morello, Shea Diamond, Dan Reynolds & The Bloody Beetroots)","Tom Morello, Shea Diamond, Dan Reynolds, The Bloody Beetroots","Stand Up (Tom Morello, Shea Diamond, Dan Reynolds & The Bloody Beetroots)",193770,34,False
2zFeidZdxQprVl4Zzjj7Rv,Chinga Tu Madre,Molotov,Donde Jugaran Las Niñas,198626,43,True
46gSk82duJtX3TTA182ruG,This fffire - New Version,Franz Ferdinand,This fffire,218080,67,False
4A6alYY1CriDmRLrX0NV3a,Después,Okills,América Supersónica,236453,38,False
5P6NlUiOSbzXOYv8TViw2Z,Parallels,Dance Gavin Dance,Afterburner,216666,36,True
6HexNTb392JS071DoTGo0y,Hummingbird (Metro Boomin & James Blake),"Metro Boomin, James Blake",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),319493,70,False
2bvbLvGD7YnS4Nhf9E4hUl,Heartache,Toby Fox,UNDERTALE Soundtrack,108451,55,False
6o90x8ufulA9DL4qJrj5l0,Ego,Molotov,Sólo D’Lira,191555,29,False
1hR0fIFK2qRG3f3RF70pb7,Calm Like a Bomb,Rage Against The Machine,The Battle Of Los Angeles,298893,55,False
4XwmdaPVSHsvxsuKS7HBdl,World Rage,Lil Skies,World Rage,135418,47,True
6o6z02bBWMKXjJjvFxqfMm,Swervin',"MemoTheMafioso, C Loccs",Swervin',165147,55,True
0oXLSuno5adlHcPzlzs8l6,Duele El Amor,"Aleks Syntek, Ana Torroja",Mundo Lite,275373,70,False
7llSV9mWATUeGNxJMik2Vg,"Lo Mejor, Lo Peor",Okills,América Supersónica,223186,52,False
6GMCHNjNGqyKdhyNEpP6c8,La Diabla - Versión Banda,"Alex Sensation, Banda El Recodo",Esta Vida Es Muy Bonita,214186,19,False
